odel initialized
Skipping user 8 as not enough periods (4862)
08/22/17 20:15:49 User 1 UserID 16 (Total plays [3886])
08/22/17 20:19:09 Sample 0 of 50 Precision 0.0 Recall 0.0

08/22/17 20:24:16 Sample 1 of 50 Precision 1.0 Recall 0.667

08/22/17 20:27:30 Sample 2 of 50 Precision 0.0 Recall 0.0

08/22/17 20:30:37 Sample 3 of 50 Precision 0.5 Recall 0.5

08/22/17 20:35:52 Sample 4 of 50 Precision 0.333 Recall 0.667

08/22/17 20:39:07 Sample 5 of 50 Precision 0.0 Recall 0.0

08/22/17 20:42:24 Sample 6 of 50 Precision 1.0 Recall 0.5

08/22/17 20:45:38 Sample 7 of 50 Precision 0.5 Recall 0.667

08/22/17 20:48:49 Sample 8 of 50 Precision 0.667 Recall 1.0

08/22/17 20:52:07 Sample 9 of 50 Precision 0.5 Recall 0.5

08/22/17 20:55:21 Sample 10 of 50 Precision 0.857 Recall 0.857

08/22/17 20:58:34 Sample 11 of 50 Precision 0.667 Recall 1.0

08/22/17 21:01:47 Sample 12 of 50 Precision 0.0 Recall 0.0

08/22/17 21:05:02 Sample 13 of 50 Precision 0.5 Recall 0.667

08/22/17 21:08:19 Sample 14 of 50 Precision 0.4 Recall 0.667

08/22/17 21:11:26 Sample 15 of 50 Precision 0.0 Recall 0.0

08/22/17 21:16:21 Sample 16 of 50 Precision 0.0 Recall 0.0

08/22/17 21:19:55 Sample 17 of 50 Precision 0.0 Recall 0.0

08/22/17 21:23:06 Sample 18 of 50 Precision 1.0 Recall 0.333

08/22/17 21:26:19 Sample 19 of 50 Precision 1.0 Recall 0.5

08/22/17 21:29:35 Sample 20 of 50 Precision 1.0 Recall 0.667

08/22/17 21:32:51 Sample 21 of 50 Precision 1.0 Recall 0.25

08/22/17 21:36:02 Sample 22 of 50 Precision 1.0 Recall 0.5

08/22/17 21:39:11 Sample 23 of 50 Precision 0.0 Recall 0.0

08/22/17 21:42:26 Sample 24 of 50 Precision 0.0 Recall 0.0

